"GID","GeneticGroup","BRNHT1","CGMS1","CGMS2","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","PLTHT"
"2013_0002_1:250162042","nrTP_plus_IITA",4.87568116451516,-0.195861359229699,0.00919104413976136,0.0925482045250716,-0.0281549377513463,0.0445602869128231,0.0680732698252271,0.152645020046687,-0.450604563902986,-1.66847321237223
"2013_0002_10:250162051","nrTP_plus_IITA",6.11292252234842,-0.156125264316932,-0.0204986486757686,-1.89061532566602,-0.0228349692444632,0.170209214830708,0.165309271817751,0.26694020511468,-0.155243441429567,1.86339441021983
"2013_0002_11:250162052","nrTP_plus_IITA",1.48218365164513,-0.110016941640508,-0.0352819654450853,-0.471350549257837,-0.0030290592588421,0.177522697049656,0.1415731916619,0.190635150108946,-0.689849273707065,-5.91673895411407
"2013_0002_2:250162043","nrTP_plus_IITA",2.96822368820635,-0.211236020687488,-0.0130219776799508,-0.306532779169691,0.0316028468132992,0.17802454766,0.172400148006883,0.0704816538506707,-0.725692606896351,-2.22496003630095
"2013_0002_3:250162044","nrTP_plus_IITA",2.94181181150204,-0.0750514746323812,0.00171563977522537,1.78240027516175,0.0064528332469267,0.0967017227800481,0.115640746907735,0.115749070212853,-0.488382379153823,-1.78855591347044
"2013_0002_4:250162045","nrTP_plus_IITA",-0.207717663476873,0.215297394571201,0.00136773268963178,0.0420722402463054,-0.00837248571624264,0.109418637337209,0.206795578889095,0.139456036573499,-0.232895762127861,-2.76916554956694
"2013_0002_5:250162046","nrTP_plus_IITA",2.86033239179658,0.355233387045105,-0.0117212486002862,-1.33370592150567,-0.0108757162527881,0.152955655336448,0.19714457501036,0.183146794144824,-0.315100384746133,-1.64325596784219
"2013_0002_6:250162047","nrTP_plus_IITA",1.40989430381966,-0.0913657374628477,-0.0248334500182212,-2.21550263586867,0.0142858280528867,0.142483668062427,0.161952513344719,0.142053092477579,-0.271358695444872,-3.695432819746
"2013_0002_7:250162048","nrTP_plus_IITA",5.82771429306022,-0.127076306571228,-0.0146030966528546,1.25027100232435,-0.0124765889443678,0.0767910642360212,0.130825341501562,0.159224211212796,0.623797632480328,0.194520163253422
"2013_0002_8:250162049","nrTP_plus_IITA",1.57710470155547,-0.32283917892735,0.00889681246989101,0.0689314673031345,0.0138884526905416,0.133561039235884,0.164383372386874,0.10118443912081,-0.0301739132831675,-3.9349826541169
"2013_0002_9:250162050","nrTP_plus_IITA",-0.414055202795979,0.2270649203417,0.00477418265841665,0.538385389465653,0.0623122380401678,0.199267863913514,0.247466158004597,0.0301563213090463,-0.458036038329671,-4.22821517586085
"2013_0003_1:250162053","nrTP_plus_IITA",-3.64440487087564,-0.519762167091319,-0.00288029366122338,0.0568990979501066,-0.0392932608247755,-0.0210147770986423,-0.0620789704712284,0.100758251959368,-0.0019736128354249,0.474672331920464
"2013_0003_10:250162062","nrTP_plus_IITA",-6.1882381828294,-0.14155709031328,-0.0205818030649854,-0.0236476273878838,0.0254523776441721,-0.0429664979948854,-0.049864571038105,-0.163098522515758,0.573999923195268,-1.69596592821434
"2013_0003_11:250162063","nrTP_plus_IITA",-0.561446624991414,-0.153136584904567,-0.00601024529873209,0.733652374402026,-0.0266143920874863,-0.0671345316250298,-0.0441203324679564,0.00178779438157391,0.173798627364308,4.0627293767749
"2013_0003_13:250162065","nrTP_plus_IITA",-2.18620003041493,0.0518822085364501,0.0434753369561956,3.00221088727506,-0.0202027968701886,-0.104873644168326,-0.0927919382232439,-0.0540565451549159,-0.535105310719985,-6.21290097551555
"2013_0003_14:250162066","nrTP_plus_IITA",-3.29314780454452,-0.137613302326042,0.0200161254173009,1.19333019369237,-0.0143533050235271,-0.104460909415887,-0.125977532276969,-0.110699957641064,0.73726809051093,-2.64091275964428
"2013_0003_15:250162067","nrTP_plus_IITA",-4.45305700806956,-0.24378375379161,-0.00968419006267822,1.06390588161912,0.0283310039411244,0.0466684040306928,-0.0370406431614779,-0.102963301246768,0.372026021215497,-7.08762123404296
"2013_0003_16:250162068","nrTP_plus_IITA",-3.29501214480383,-0.137917570840283,0.0165835114235545,1.74684565312295,0.00656924044527803,0.0366753455452202,-0.00463800559840816,-0.00291651781228062,-0.511015687754584,-1.51040895264809
"2013_0003_3:250162055","nrTP_plus_IITA",-4.32738591908324,-0.271121929613674,-0.000919653990424218,2.13152688372384,-0.0279036169266914,-0.0084754968361053,-0.0665769489521955,0.0463427383754597,0.090143702579773,-0.629659284224875
