"GID","GeneticGroup","BRNHT1","CGMS1","CGMS2","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","PLTHT"
"2013_0002_1:250162042","nrTP_plus_IITA",2.29233994221387,-0.195861359229699,0.00919104413976136,0.147331241621894,-0.00796446262876551,0.00796768392271145,0.00295519576273386,0.0282254417260515,-0.0230333724311256,-2.25275301412877
"2013_0002_10:250162051","nrTP_plus_IITA",1.09936651501059,-0.156125264316932,-0.0204986486757686,-0.0695892828134584,-0.00918466887607267,0.024289081005608,0.00318378396532519,0.0484592545625046,-0.0494787503938212,-0.471308430746584
"2013_0002_11:250162052","nrTP_plus_IITA",-0.416085839775245,-0.110016941640508,-0.0352819654450853,0.144693020640053,0.00329697912866141,0.0672537430969256,0.00552819932604391,0.0479289613072179,-0.0196011291659078,-4.92234991792493
"2013_0002_2:250162043","nrTP_plus_IITA",-0.595761307270016,-0.211236020687488,-0.0130219776799508,0.426904900932007,0.0104349597503255,0.0485217720972103,0.00466357200924642,0.00831293930323428,-0.0237670359846911,-3.66938278513975
"2013_0002_3:250162044","nrTP_plus_IITA",0.53359776944447,-0.0750514746323812,0.00171563977522537,0.242991495028393,-0.00229192618599612,-0.0393282026801537,-0.0117861949510042,-0.0130690102365699,-0.0164781293910226,-2.79826076228252
"2013_0002_4:250162045","nrTP_plus_IITA",0.095460513423247,0.215297394571201,0.00136773268963178,0.099096125729611,0.00185661451212993,0.0287802054558643,0.0147343007433328,0.0080059013617958,0.0128305980340806,-2.33896126826085
"2013_0002_5:250162046","nrTP_plus_IITA",0.00517748477331735,0.355233387045105,-0.0117212486002862,0.0425961698022958,-0.0120077642690172,0.00806723917414846,0.00309707789404804,0.0376861598708402,0.00906293393267059,-2.09619530577443
"2013_0002_6:250162047","nrTP_plus_IITA",1.01705105301135,-0.0913657374628477,-0.0248334500182212,0.157135524322044,0.00185729279518314,0.0408561112048662,0.0163696642018104,0.0366767178363532,-0.0320744500983038,-2.73294652418258
"2013_0002_7:250162048","nrTP_plus_IITA",3.01600417286447,-0.127076306571228,-0.0146030966528546,0.532857623217093,0.00467764747351266,0.021025288255095,0.0109141236343794,0.0125429144117696,-0.00151002410925065,-2.47863483714139
"2013_0002_8:250162049","nrTP_plus_IITA",2.18954014363062,-0.32283917892735,0.00889681246989101,0.315670650166507,0.00467778088336979,0.0170742246696591,0.0070993161359273,0.0174208134224198,0.0731276024148907,-0.26588820039025
"2013_0002_9:250162050","nrTP_plus_IITA",-0.614266537643613,0.2270649203417,0.00477418265841665,0.00802208316187234,0.00423783652459985,0.0234100123610783,-0.000660962753311466,0.00720315201378157,0.016133065748987,-4.44611184047101
"2013_0003_1:250162053","nrTP_plus_IITA",1.12278922032202,-0.519762167091319,-0.00288029366122338,0.303949732101092,-0.00206144356959536,0.0569464057596952,0.00458808677314657,0.0479003351137871,-0.052659044416642,-0.0810919134020384
"2013_0003_10:250162062","nrTP_plus_IITA",-1.18399712369544,-0.14155709031328,-0.0205818030649854,0.0957110594796471,0.0138010042223512,0.018488592641784,0.000439316899349621,-0.0266095880728967,-0.0143443065783782,-2.82837113375578
"2013_0003_11:250162063","nrTP_plus_IITA",-2.03464489922967,-0.153136584904567,-0.00601024529873209,-0.0357507968156147,-0.00118984532737022,0.0164181601632278,0.00764563237626135,0.0207230410483745,-0.033963790253211,-0.722008993131102
"2013_0003_13:250162065","nrTP_plus_IITA",0.212985623807973,0.0518822085364501,0.0434753369561956,0.0974585065154206,-0.00811742812951306,-0.0291751185842859,-0.0123684595048844,-0.00211020726068107,-0.0654580272385445,-3.63879747984798
"2013_0003_14:250162066","nrTP_plus_IITA",0.436148964596358,-0.137613302326042,0.0200161254173009,-0.106394672807662,0.00618616959180745,0.00398341923634977,-0.0114640365033892,-0.0199487602068196,-0.0414179248550627,-1.17216490991319
"2013_0003_15:250162067","nrTP_plus_IITA",-1.4340480473765,-0.24378375379161,-0.00968419006267822,0.0422350109974964,0.0174293015680974,-0.00235287792425666,-0.0142520141142675,-0.0564366504658657,-0.0159189108080147,-4.47319243654173
"2013_0003_16:250162068","nrTP_plus_IITA",0.184509131745663,-0.137917570840283,0.0165835114235545,0.222463118012473,0.00218394606923306,0.0530404459906167,0.0086320907896739,0.0176715029540038,-0.0315697209411646,-2.74894804810437
"2013_0003_3:250162055","nrTP_plus_IITA",2.0567238854511,-0.271121929613674,-0.000919653990424218,0.0544858791034063,-0.00437899629942984,0.0189838892109842,-0.00747720589018438,0.0156786054147917,0.0207334542834074,-0.486144790023063
"2013_0003_4:250162056","nrTP_plus_IITA",-1.31604880710124,-0.483940562728233,-0.0482681714411903,0.0595921428287464,-0.000248218091342317,0.0150857366533323,-0.00481171154297475,-0.00670324146683737,-0.0285594983238485,-3.07134695709212
"2013_0003_5:250162057","nrTP_plus_IITA",0.151368599475643,-0.145310138914883,-0.00282405334873597,0.0615562963807464,0.0137489473741094,0.0377098044158062,0.00500835655127652,-0.0161446447615314,-0.0505731614177833,-3.02589745910662
"2013_0003_6:250162058","nrTP_plus_IITA",-1.15543044086132,-0.412903921035558,0.0317660013136718,0.224974668534443,0.0126573584338737,0.00723807033240141,-0.00682424026736593,-0.0419361602639787,-0.0361856478752068,-5.39513280590121
"2013_0003_7:250162059","nrTP_plus_IITA",-0.491605035848775,-0.621948052377438,-0.0182698800486077,0.360202923189552,-0.00681804235097618,0.0373285304734858,0.00526698619295106,0.0422065412900735,-0.0162653475032621,-1.07538866135908
"2013_0003_8:250162060","nrTP_plus_IITA",0.562548251444375,-0.0376228859630056,0.0144563792847132,0.589230477885324,0.0124771263057549,0.084648263952686,0.0166478540809016,0.0270031338531514,-0.084138283606564,0.435776433033206
"2013_0006_1:250162251","nrTP_plus_IITA",1.58593872881987,-0.0521539114028553,0.0353906232917659,0.0445721044631485,-0.011978898712444,-0.0342527590487177,-0.0136654023633465,-0.00298893736394589,0.0274004275175029,1.52650056410614
"2013_0006_11:250162261","nrTP_plus_IITA",0.965728417854562,0.212841578247106,0.0529943297034532,0.172250229720173,-0.0125957511358481,0.021498638023038,-0.00152425447434321,0.036335035659714,-0.025292795434735,4.78044059559237
"2013_0006_12:250162262","nrTP_plus_IITA",-0.723553925457482,-0.263609834180024,0.041071664476576,0.404820168791342,-0.00608935791830246,-0.0119994772669271,-0.0052989664218034,-0.015151089866399,0.0197591208847159,1.18755482780846
