"GID","GeneticGroup","BRNHT1","CGMS1","CGMS2","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","PLTHT"
"2013_0002_1:250162042","nrTP_plus_IITA",2.38290492987304,-0.222928964233631,0.0130647402850972,0.0580386154127861,-0.00636475929355135,0.0138263568336711,0.00288080883490958,0.0238458203842487,-0.0213598954115116,190.090148623685
"2013_0002_10:250162051","nrTP_plus_IITA",1.62491926882933,-0.145104737612688,-0.0169237565898681,-0.194206769397348,-0.00681762930281535,0.0262550149223355,0.000466863901187716,0.0324853956584878,-0.037268642960318,38.7530963353571
"2013_0002_11:250162052","nrTP_plus_IITA",-0.0321905190220646,-0.117143756838266,-0.0320377729006727,0.0306314599030095,0.00385964570502431,0.0681732791831468,0.00400963115394682,0.0302845066240113,-0.0216295791782978,141.115120740248
"2013_0002_2:250162043","nrTP_plus_IITA",-0.199938274343545,-0.154693905777383,-0.0191631463888488,0.334958425963026,0.00969710183208685,0.0299087615886178,0.00283828076569602,0.00048743265478143,-0.0182443048258962,101.246773557361
"2013_0002_3:250162044","nrTP_plus_IITA",0.95304211825229,-0.0845526873029747,-0.00587591692641714,0.222561816908961,-0.0023095628532598,-0.0365580283176626,-0.0118122394712148,-0.0194851052905084,0.0114568362618986,183.532937584043
"2013_0002_4:250162045","nrTP_plus_IITA",0.433458478744018,0.20545185495262,-0.0140785476330218,0.0187113423480004,0.00285083502644194,0.0193975233930716,0.0117817205861074,0.00402485289661614,0.0279431286858025,123.423759308329
"2013_0002_5:250162046","nrTP_plus_IITA",0.29556299225436,0.308953456942335,-0.0178343845750562,-0.0554208471666996,-0.0121270448195801,-0.000501563061500288,-0.00139394578136846,0.0293934569563694,0.0441457745148894,78.9514978581915
"2013_0002_6:250162047","nrTP_plus_IITA",1.30464792277489,-0.0510701883227338,-0.0102951031861057,-0.0163461426327191,0.00379280531725347,0.0440095680292347,0.0164062763009974,0.0221253615513434,-0.0130348637571488,75.5788019790878
"2013_0002_7:250162048","nrTP_plus_IITA",3.03747387134507,-0.134475149277187,-0.00206394388652972,0.364703965245542,0.00391734731288128,0.0260575422066487,0.0127031678347654,0.00833570921261246,0.0227142844872772,-70.2694603546643
"2013_0002_8:250162049","nrTP_plus_IITA",1.92207322637345,-0.306412807715977,-7.1372747564372e-05,0.262352682132537,0.0040545322502727,0.0253414106874971,0.0070890967269763,0.0112406775328896,0.0912939449913607,11.8764683044034
"2013_0002_9:250162050","nrTP_plus_IITA",-0.171188936000662,0.24386312073658,-0.00206548330889104,-0.189498439003696,0.0081446671386393,0.0161320049723595,-0.0046302486485903,-0.00791313723297139,0.0395696518284937,159.158995802911
"2013_0003_1:250162053","nrTP_plus_IITA",1.45692735144968,-0.486677597080208,-0.00655278562588466,0.298878539371006,0.000138464751112556,0.0617903816368379,0.00245609523473586,0.042516525167412,-0.037942801438529,-111.287198144666
"2013_0003_10:250162062","nrTP_plus_IITA",-0.445098988372256,-0.147420989934811,-0.0240360831651007,-0.0912463073916214,0.0128545815559563,0.0158380546522885,-0.00264059216242576,-0.0243468722682323,-0.013909903674465,-173.66370296044
"2013_0003_11:250162063","nrTP_plus_IITA",-1.90807253185789,-0.136310554275109,-0.0108148623822493,-0.0933497901830098,-6.18145938637464e-05,0.0143822887140051,0.000886657313258898,0.00949607514060436,-0.0258849612558882,80.5857968486312
"2013_0003_13:250162065","nrTP_plus_IITA",0.629464236847561,0.0455961481090507,0.0304765318464139,0.119756435955499,-0.00593539852585444,-0.0272204819827581,-0.00918679131672505,-0.00693786344417182,-0.0486837384746395,80.4440517040922
"2013_0003_14:250162066","nrTP_plus_IITA",0.827862337611791,-0.135717351852241,0.0242181353193045,-0.213380274294955,0.00808236849586339,0.0136325830682701,-0.00953609656013839,-0.0130750021943944,-0.0352465478818906,-75.6191610841947
"2013_0003_15:250162067","nrTP_plus_IITA",-0.708982761127166,-0.250696967921727,-0.00963099745500749,-0.0265374678663746,0.0165883277667112,-0.00593185587761872,-0.0129008855674023,-0.0524274363168654,-0.00148526158111848,6.17156733579802
"2013_0003_16:250162068","nrTP_plus_IITA",0.698438227703058,-0.10186717041307,0.0215338092242049,0.253884106509692,0.00211775723107561,0.0362558556676143,0.0105340344422703,0.0166197712329905,-0.0240319543336626,-163.705573156351
"2013_0003_3:250162055","nrTP_plus_IITA",2.36652632528945,-0.282978462526317,-0.00441657643486034,0.013254851475229,7.1955508787024e-06,0.0210079008630333,-0.00792160906834942,0.013649338206408,0.0555254147415311,-7.49083559704749
